country,topic,best_lag,best_correlation,dtw_distance,edit_similarity,direction,politics_amplitude,media_amplitude,amplitude_gap
UK,1,1,0.08339836245294811,11.608999999999988,0.5066225165562914,weak/no clear influence,1.0,0.465,0.5349999999999999
UK,2,-2,0.059005938436496985,50.06199999999994,0.5016556291390728,weak/no clear influence,1.0,0.334,0.6659999999999999
UK,3,-1,0.11413758782906923,7.925999999999999,0.5529801324503312,weak/no clear influence,0.5,0.556,0.05600000000000005
UK,4,3,0.1952483114252698,8.883000000000001,0.5910596026490067,politics leads media,0.05,0.541,0.49100000000000005
UK,5,-3,-0.06956244154000425,8.078000000000001,0.5993377483443709,weak/no clear influence,0.05,0.429,0.379
UK,6,-2,0.3838817578414154,6.9319999999999995,0.5811258278145696,media leads politics,0.25,0.454,0.20400000000000001
UK,7,3,0.14571368454695424,6.89,0.6059602649006622,weak/no clear influence,1.0,0.428,0.5720000000000001
UK,8,2,0.01527024654483434,3.8879999999999972,0.7019867549668874,weak/no clear influence,0.5,0.125,0.375
UK,9,3,0.13088687337823376,2.662999999999999,0.6986754966887417,weak/no clear influence,0.05,0.167,0.117
UK,10,-2,0.0756833898869271,1.6959999999999993,0.7632450331125828,weak/no clear influence,0.05,0.119,0.06899999999999999
UK,11,-3,0.025916443805946782,1.9320000000000008,0.7516556291390728,weak/no clear influence,0.167,0.182,0.014999999999999986
UK,12,1,0.3146282481553771,3.4479999999999986,0.7450331125827814,politics leads media,0.5,0.182,0.318
UK,13,-2,0.03221754756105796,1.1410000000000005,0.794701986754967,weak/no clear influence,0.167,0.101,0.066
UK,14,1,0.20998588324572293,0.9650000000000006,0.8327814569536424,politics leads media,0.05,0.106,0.055999999999999994
UK,15,3,0.08928652375390235,0.7640000000000005,0.8625827814569537,weak/no clear influence,0.05,0.111,0.061
UK,16,1,0.08662160171742483,0.9790000000000004,0.8377483443708609,weak/no clear influence,0.05,0.222,0.172
UK,17,-3,0.06736384290951712,0.7400000000000003,0.8758278145695364,weak/no clear influence,0.05,0.125,0.075
UK,18,-2,0.030073661057432487,1.4810000000000003,0.8427152317880795,weak/no clear influence,0.05,0.25,0.2
UK,19,-2,0.09585828465357184,0.7120000000000004,0.8642384105960265,weak/no clear influence,0.05,0.071,0.02099999999999999
UK,20,-3,0.0,1.2500000000000004,0.9586092715231788,weak/no clear influence,0.05,0.0,0.05
US,1,3,0.10317451629243096,47.252000000000045,0.5041736227045075,weak/no clear influence,0.76,0.067,0.6930000000000001
US,2,-3,0.14129870536525216,68.71699999999998,0.44574290484140233,weak/no clear influence,0.05,0.49399999999999994,0.44399999999999995
US,3,-3,-0.07769520565725811,25.338000000000044,0.5008347245409015,weak/no clear influence,0.95,0.056,0.8939999999999999
US,4,0,0.08391868656491729,4.149999999999997,0.6160267111853088,weak/no clear influence,0.273,0.107,0.16600000000000004
US,5,3,-0.0002695749162982552,9.995000000000001,0.5492487479131887,weak/no clear influence,0.05,0.357,0.307
US,6,3,-0.1035540623989784,2.681,0.66110183639399,weak/no clear influence,0.148,0.071,0.077
US,7,0,0.014923038844270358,4.616999999999999,0.676126878130217,weak/no clear influence,0.347,0.073,0.27399999999999997
US,8,1,0.04061286543638512,3.4669999999999965,0.654424040066778,weak/no clear influence,0.208,0.059,0.149
US,9,-1,0.16661414438661154,4.765999999999996,0.7212020033388982,media leads politics,0.05,0.353,0.303
US,10,2,-0.021577925284275688,2.7819999999999987,0.7078464106844742,weak/no clear influence,0.061,0.172,0.11099999999999999
US,11,0,0.0471179178443386,3.171999999999999,0.7462437395659433,weak/no clear influence,0.065,0.4,0.335
US,12,3,-0.10499938854774303,2.687,0.8046744574290484,weak/no clear influence,0.05,0.179,0.129
US,13,-3,-0.046721526105488104,3.159,0.7963272120200334,weak/no clear influence,0.05,0.308,0.258
US,14,3,0.09129246125456614,1.2110000000000003,0.8180300500834725,weak/no clear influence,0.05,0.154,0.104
US,15,-1,0.27633036696405755,2.0080000000000005,0.8514190317195326,media leads politics,0.05,0.286,0.236
US,16,2,0.024834030437389402,1.468,0.8530884808013356,weak/no clear influence,0.05,0.1,0.05
US,17,-3,0.0,2.0840000000000005,0.8664440734557596,weak/no clear influence,0.148,0.0,0.148
US,18,3,-0.10501048416504141,1.0240000000000002,0.8998330550918197,weak/no clear influence,0.05,0.114,0.064
US,19,3,0.3554102163207947,0.8340000000000001,0.9131886477462438,politics leads media,0.05,0.152,0.102
US,20,-3,0.0,0.7000000000000001,0.9766277128547579,weak/no clear influence,0.05,0.0,0.05
