country,topic_rank,topic_id,label,keywords,count
US,1,0,of / the / in / x27,"of, the, in, x27, and, his, her, to, mr, congressional",1540
US,2,1,cookies / you / and / your,"cookies, you, and, your, opt, use, out, or, advertising, services",1104
US,3,2,of / committee / to / the,"of, committee, to, the, hearings, examine, on, hold, sd, no",589
US,4,3,the / of / in / team,"the, of, in, team, x27, to, and, school, coach, championship",226
US,5,4,the / said / in / that,"the, said, in, that, he, trump, to, was, of, his",202
US,6,5,the / of / x27 / in,"the, of, x27, in, community, and, to, its, mr, congressional",148
US,7,6,church / the / of / his,"church, the, of, his, in, x27, pastor, and, to, baptist",146
US,8,7,the / of / to / act,"the, of, to, act, bill, x27, and, in, federal, that",141
US,9,8,the / that / to / musk,"the, that, to, musk, said, in, of, it, and, he",106
US,10,9,the / said / that / in,"the, said, that, in, to, of, it, people, is, and",97
US,11,10,israel / gaza / the / hamas,"israel, gaza, the, hamas, in, israeli, said, of, that, to",91
US,12,11,biden / the / trump / in,"biden, the, trump, in, to, he, harris, that, said, of",57
US,13,12,skin / it / and / to,"skin, it, and, to, up, off, best, the, is, says",56
US,14,13,ukraine / the / russia / putin,"ukraine, the, russia, putin, in, to, said, that, of, russian",48
US,15,14,the / said / fire / in,"the, said, fire, in, to, of, it, is, and, that",38
US,16,15,the / that / in / said,"the, that, in, said, to, lgbtq, of, and, trans, women",34
US,17,16,music / the / of / jazz,"music, the, of, jazz, x27, his, mr, and, in, kenny",31
US,18,17,abortion / the / in / that,"abortion, the, in, that, to, said, is, pregnancy, state, ban",25
US,19,18,tariffs / trump / the / to,"tariffs, trump, the, to, said, tariff, on, in, goods, china",21
